code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.601600,sh.601600,,,2025-08-28,2025-10-11,2025-10-16,2025-10-17,2025-10-17,,0.123,0.1107或0.123,0.000000,10派1.23元（含税，扣税后1.107或1.23元）,
sh.600028,sh.600028,,2020-05-20,2020-03-30,2020-06-02,2020-06-09,2020-06-10,2020-06-10,,0.19,0.171或0.19,0.000000,10派1.9元（含税，扣税后1.71或1.9元）,
sh.600028,sh.600028,,2020-09-29,2020-08-31,2020-10-15,2020-10-22,2020-10-23,2020-10-23,,0.07,0.063或0.07,0.000000,10派0.7元（含税，扣税后0.63或0.7元）,
sh.600028,sh.600028,,2021-05-26,2021-03-29,2021-06-09,2021-06-16,2021-06-17,2021-06-17,,0.13,0.117或0.13,0.000000,10派1.3元（含税，扣税后1.17或1.3元）,
sh.600028,sh.600028,,,2021-08-30,2021-09-09,2021-09-16,2021-09-17,2021-09-17,,0.16,0.144或0.16,0.000000,10派1.6元（含税，扣税后1.44或1.6元）,
sh.600028,sh.600028,,2022-05-19,2022-03-28,2022-06-02,2022-06-09,2022-06-10,2022-06-10,,0.31,0.279或0.31,0.000000,10派3.1元（含税，扣税后2.79或3.1元）,
sh.600028,sh.600028,,,2022-08-29,2022-09-08,2022-09-16,2022-09-19,2022-09-19,,0.16,0.144或0.16,0.000000,10派1.6元（含税，扣税后1.44或1.6元）,
sh.600028,sh.600028,,2023-05-31,2023-03-27,2023-06-14,2023-06-20,2023-06-21,2023-06-21,,0.195,0.1755或0.195,0.000000,10派1.95元（含税，扣税后1.755或1.95元）,
sh.600028,sh.600028,,,2023-08-28,2023-09-07,2023-09-14,2023-09-15,2023-09-15,,0.145,0.1305或0.145,0.000000,10派1.45元（含税，扣税后1.305或1.45元）,
sh.600028,sh.600028,,2024-06-29,2024-03-25,2024-07-09,2024-07-15,2024-07-16,2024-07-16,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.600028,sh.600028,,,2024-08-26,2024-09-05,2024-09-12,2024-09-13,2024-09-13,,0.146,0.1314或0.146,0.000000,10派1.46元（含税，扣税后1.314或1.46元）,
sh.600028,sh.600028,,2025-05-29,2025-03-24,2025-06-11,2025-06-17,2025-06-18,2025-06-18,,0.14,0.126或0.14,0.000000,10派1.4元（含税，扣税后1.26或1.4元）,
sh.600028,sh.600028,,,2025-08-22,2025-09-06,2025-09-11,2025-09-12,2025-09-12,,0.088,0.0792或0.088,0.000000,10派0.88元（含税，扣税后0.792或0.88元）,
sh.601088,sh.601088,,2020-05-30,2020-03-28,2020-06-08,2020-06-12,2020-06-15,2020-06-15,,1.26,1.134或1.26,0.000000,10派12.6元（含税，扣税后11.34或12.6元）,
sh.601088,sh.601088,,2021-06-26,2021-03-27,2021-07-05,2021-07-09,2021-07-12,2021-07-12,,1.81,1.629或1.81,0.000000,10派18.1元（含税，扣税后16.29或18.1元）,
sh.601088,sh.601088,,2022-06-25,2022-03-26,2022-07-04,2022-07-08,2022-07-11,2022-07-11,,2.54,2.286或2.54,0.000000,10派25.4元（含税，扣税后22.86或25.4元）,
sh.601088,sh.601088,,2023-06-17,2023-03-25,2023-06-28,2023-07-04,2023-07-05,2023-07-05,,2.55,2.295或2.55,0.000000,10派25.5元（含税，扣税后22.95或25.5元）,
sh.601088,sh.601088,,2024-06-22,2024-03-23,2024-07-01,2024-07-05,2024-07-08,2024-07-08,,2.26,2.034或2.26,0.000000,10派22.6元（含税，扣税后20.34或22.6元）,
sh.601088,sh.601088,,2025-06-21,2025-03-22,2025-06-30,2025-07-04,2025-07-07,2025-07-07,,2.26,2.034或2.26,0.000000,10派22.6元（含税，扣税后20.34或22.6元）,
sh.601088,sh.601088,,2025-10-25,2025-08-30,2025-11-04,2025-11-07,2025-11-10,2025-11-10,,0.98,0.882或0.98,0.000000,10派9.8元（含税，扣税后8.82或9.8元）,
sh.600547,sh.600547,,2020-06-29,2020-04-17,2020-08-12,2020-08-18,2020-08-19,2020-08-19,2020-08-20,0.1,0.09或0.1,0.000000,10转4派1元（含税，扣税后0.9或1元）,0.400000
sh.600547,sh.600547,,2021-06-11,2021-03-31,2021-07-20,2021-07-26,2021-07-27,2021-07-27,,0.05,0.045或0.05,0.000000,10派0.5元（含税，扣税后0.45或0.5元）,
sh.600547,sh.600547,,2022-06-01,2022-03-29,2022-07-01,2022-07-07,2022-07-08,2022-07-08,,0.05,0.045或0.05,0.000000,10派0.5元（含税，扣税后0.45或0.5元）,
sh.600547,sh.600547,,2023-06-08,2023-03-30,2023-07-11,2023-07-17,2023-07-18,2023-07-18,,0.07,0.063或0.07,0.000000,10派0.7元（含税，扣税后0.63或0.7元）,
sh.600547,sh.600547,,2024-06-07,2024-03-29,2024-07-09,2024-07-16,2024-07-17,2024-07-17,,0.14,0.126或0.14,0.000000,10派1.4元（含税，扣税后1.26或1.4元）,
sh.600547,sh.600547,,2024-10-19,2024-08-29,2024-11-21,2024-11-28,2024-11-29,2024-11-29,,0.08,0.072或0.08,0.000000,10派0.8元（含税，扣税后0.72或0.8元）,
sh.600547,sh.600547,,2025-06-12,2025-03-28,2025-07-17,2025-07-23,2025-07-24,2025-07-24,,0.148,0.1332或0.148,0.000000,10派1.48元（含税，扣税后1.332或1.48元）,
sh.600547,sh.600547,,,2025-08-28,2025-10-16,2025-10-22,2025-10-23,2025-10-23,,0.17467,0.1572或0.17467,0.000000,10派1.7467元（含税，扣税后1.572或1.7467元）,
sh.600426,sh.600426,,2020-04-23,2020-03-27,2020-06-12,2020-06-17,2020-06-18,2020-06-18,,0.35,0.315或0.35,0.000000,10派3.5元（含税，扣税后3.15或3.5元）,
sh.600426,sh.600426,,2021-04-23,2021-03-27,2021-05-15,2021-05-20,2021-05-21,2021-05-21,2021-05-24,0.3,0.24或0.3,0.300000,10送3派3元（含税，扣税后2.4或3元）,
sh.600426,sh.600426,,2022-05-21,2022-03-30,2022-05-31,2022-06-07,2022-06-08,2022-06-08,,0.8,0.72或0.8,0.000000,10派8元（含税，扣税后7.2或8元）,
sh.600426,sh.600426,,2023-04-29,2023-03-30,2023-05-30,2023-06-06,2023-06-07,2023-06-07,,0.8,0.72或0.8,0.000000,10派8元（含税，扣税后7.2或8元）,
sh.600426,sh.600426,,2024-04-27,2024-03-30,2024-06-12,2024-06-18,2024-06-19,2024-06-19,,0.6,0.54或0.6,0.000000,10派6元（含税，扣税后5.4或6元）,
sh.600426,sh.600426,,2024-09-21,2024-08-23,2024-11-09,2024-11-14,2024-11-15,2024-11-15,,0.3,0.27或0.3,0.000000,10派3元（含税，扣税后2.7或3元）,
sh.600426,sh.600426,,2025-04-30,2025-03-29,2025-06-24,2025-06-27,2025-06-30,2025-06-30,,0.3,0.27或0.3,0.000000,10派3元（含税，扣税后2.7或3元）,
sh.600426,sh.600426,,2025-09-27,2025-08-23,2025-10-29,2025-11-03,2025-11-04,2025-11-04,,0.25,0.225或0.25,0.000000,10派2.5元（含税，扣税后2.25或2.5元）,
sh.601168,sh.601168,,2020-04-03,2020-03-13,2020-05-13,2020-05-20,2020-05-21,2020-05-21,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.601168,sh.601168,,2021-05-20,2021-04-29,2021-06-23,2021-06-28,2021-06-29,2021-06-29,,0.12,0.108或0.12,0.000000,10派1.2元（含税，扣税后1.08或1.2元）,
sh.601168,sh.601168,,2022-05-14,2022-04-23,2022-05-24,2022-05-27,2022-05-30,2022-05-30,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601168,sh.601168,,2023-04-15,2023-03-25,2023-05-10,2023-05-17,2023-05-18,2023-05-18,,1.4,1.26或1.4,0.000000,10派14元（含税，扣税后12.6或14元）,
sh.601168,sh.601168,,2024-04-09,2024-03-16,2024-05-24,2024-05-30,2024-05-31,2024-05-31,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,
sh.601168,sh.601168,,2025-05-08,2025-04-12,2025-06-14,2025-06-19,2025-06-20,2025-06-20,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sh.600031,sh.600031,,2020-06-13,2020-04-24,2020-07-16,2020-07-21,2020-07-22,2020-07-22,,0.42,0.378或0.42,0.000000,10派4.2元（含税，扣税后3.78或4.2元）,
sh.600031,sh.600031,,2021-04-24,2021-03-31,2021-06-08,2021-06-15,2021-06-16,2021-06-16,,0.6,0.54或0.6,0.000000,10派6元（含税，扣税后5.4或6元）,
sh.600031,sh.600031,,2022-05-14,2022-04-23,2022-06-02,2022-06-09,2022-06-10,2022-06-10,,0.45,0.405或0.45,0.000000,10派4.5元（含税，扣税后4.05或4.5元）,
sh.600031,sh.600031,,2023-04-22,2023-04-01,2023-05-24,2023-05-30,2023-05-31,2023-05-31,,0.16,0.144或0.16,0.000000,10派1.6元（含税，扣税后1.44或1.6元）,
sh.600031,sh.600031,,2024-05-25,2024-04-29,2024-06-14,2024-06-20,2024-06-21,2024-06-21,,0.22,0.198或0.22,0.000000,10派2.2元（含税，扣税后1.98或2.2元）,
sh.600031,sh.600031,,2025-05-10,2025-04-18,2025-06-04,2025-06-10,2025-06-11,2025-06-11,,0.36,0.324或0.36,0.000000,10派3.6元（含税，扣税后3.24或3.6元）,
sh.600031,sh.600031,,2025-09-11,2025-08-22,2025-09-30,2025-10-14,2025-10-15,2025-10-15,,0.31,0.279或0.31,0.000000,10派3.1元（含税，扣税后2.79或3.1元）,
sh.601766,sh.601766,,2020-06-19,2020-03-31,2020-08-07,2020-08-13,2020-08-14,2020-08-14,,0.15,0.135或0.15,0.000000,10派1.5元（含税，扣税后1.35或1.5元）,
sh.601766,sh.601766,,2021-06-19,2021-03-31,2021-08-06,2021-08-12,2021-08-13,2021-08-13,,0.18,0.162或0.18,0.000000,10派1.8元（含税，扣税后1.62或1.8元）,
sh.601766,sh.601766,,2022-06-17,2022-03-31,2022-08-05,2022-08-11,2022-08-12,2022-08-12,,0.18,0.162或0.18,0.000000,10派1.8元（含税，扣税后1.62或1.8元）,
sh.601766,sh.601766,,2023-06-16,2023-03-31,2023-08-04,2023-08-10,2023-08-11,2023-08-11,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601766,sh.601766,,2024-06-19,2024-03-29,2024-08-07,2024-08-13,2024-08-14,2024-08-14,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601766,sh.601766,,2025-06-19,2025-03-29,2025-08-07,2025-08-13,2025-08-14,2025-08-14,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,
sh.601766,sh.601766,,2025-09-23,2025-08-23,2025-11-13,2025-11-19,2025-11-20,2025-11-20,,0.11,0.099或0.11,0.000000,10派1.1元（含税，扣税后0.99或1.1元）,
sh.601668,sh.601668,,2020-05-26,2020-04-25,2020-06-17,2020-06-23,2020-06-24,2020-06-24,,0.185,0.1665或0.185,0.000000,10派1.85元（含税，扣税后1.665或1.85元）,
sh.601668,sh.601668,,2021-05-14,2021-04-17,2021-06-23,2021-06-29,2021-06-30,2021-06-30,,0.2147,0.19323或0.2147,0.000000,10派2.147元（含税，扣税后1.9323或2.147元）,
sh.601668,sh.601668,,2022-05-14,2022-04-16,2022-06-23,2022-06-29,2022-06-30,2022-06-30,,0.25,0.225或0.25,0.000000,10派2.5元（含税，扣税后2.25或2.5元）,
sh.601668,sh.601668,,2023-05-20,2023-04-18,2023-06-21,2023-06-29,2023-06-30,2023-06-30,,0.2527,0.22743或0.2527,0.000000,10派2.527元（含税，扣税后2.2743或2.527元）,
sh.601668,sh.601668,,2024-05-25,2024-04-19,2024-06-21,2024-06-26,2024-06-27,2024-06-27,,0.27145,0.24431或0.27145,0.000000,10派2.7145元（含税，扣税后2.4431或2.7145元）,
sh.601668,sh.601668,,2025-05-24,2025-04-16,2025-07-10,2025-07-16,2025-07-17,2025-07-17,,0.2715,0.24435或0.2715,0.000000,10派2.715元（含税，扣税后2.4435或2.715元）,
sh.601186,sh.601186,,2020-06-20,2020-03-31,2020-07-17,2020-07-24,2020-07-27,2020-07-27,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,
sh.601186,sh.601186,,2021-06-30,2021-03-31,2021-07-27,2021-08-03,2021-08-04,2021-08-04,,0.23,0.207或0.23,0.000000,10派2.3元（含税，扣税后2.07或2.3元）,
sh.601186,sh.601186,,2022-06-24,2022-03-31,2022-07-18,2022-07-25,2022-07-26,2022-07-26,,0.246,0.2214或0.246,0.000000,10派2.46元（含税，扣税后2.214或2.46元）,
sh.601186,sh.601186,,2023-06-29,2023-03-31,2023-07-25,2023-08-01,2023-08-02,2023-08-02,,0.28,0.252或0.28,0.000000,10派2.8元（含税，扣税后2.52或2.8元）,
sh.601186,sh.601186,,2024-06-21,2024-03-29,2024-07-15,2024-07-22,2024-07-23,2024-07-23,,0.35,0.315或0.35,0.000000,10派3.5元（含税，扣税后3.15或3.5元）,
sh.601186,sh.601186,,2025-06-21,2025-03-29,2025-07-14,2025-07-21,2025-07-22,2025-07-22,,0.3,0.27或0.3,0.000000,10派3元（含税，扣税后2.7或3元）,
sh.601186,sh.601186,,2025-06-21,2025-03-29,,2025-07-21,2025-07-22,2025-07-22,,0.3,,0.000000,10派3元,
