code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.603288,sh.603288,,2020-04-17,2020-03-26,2020-04-28,2020-05-06,2020-05-07,2020-05-07,2020-05-08,1.08,0.972或1.08,0.000000,10转2派10.8元（含税，扣税后9.72或10.8元）,0.200000
sh.603288,sh.603288,,2021-04-24,2021-03-31,2021-05-11,2021-05-14,2021-05-17,2021-05-17,2021-05-18,1.03,0.917或1.03,0.100000,10转2送1派10.3元（含税，扣税后9.17或10.3元）,0.200000
sh.603288,sh.603288,,2022-04-16,2022-03-25,2022-04-23,2022-04-28,2022-04-29,2022-04-29,2022-05-05,0.76,0.674或0.76,0.100000,10送1派7.6元（含税，扣税后6.74或7.6元）,
sh.603288,sh.603288,,2023-05-17,2023-04-26,2023-05-26,2023-05-31,2023-06-01,2023-06-01,2023-06-01,0.7,0.61或0.7,0.200000,10送2派7元（含税，扣税后6.1或7元）,
sh.603288,sh.603288,,2024-05-18,2024-04-27,2024-06-13,2024-06-18,2024-06-19,2024-06-19,,0.66,0.594或0.66,0.000000,10派6.6元（含税，扣税后5.94或6.6元）,
sh.603288,sh.603288,,2025-05-10,2025-04-03,2025-05-29,2025-06-04,2025-06-05,2025-06-05,,0.86,0.774或0.86,0.000000,10派8.6元（含税，扣税后7.74或8.6元）,
sh.603288,sh.603288,,,2025-08-29,2025-09-18,2025-09-23,2025-09-24,2025-09-24,,0.26,0.234或0.26,0.000000,10派2.6元（含税，扣税后2.34或2.6元）,
sh.600660,sh.600660,,2020-06-24,2020-04-28,2020-07-16,2020-07-22,2020-07-23,2020-07-23,,0.75,0.675或0.75,0.000000,10派7.5元（含税，扣税后6.75或7.5元）,
sh.600660,sh.600660,,2021-06-18,2021-03-30,2021-06-25,2021-06-30,2021-07-01,2021-07-01,,0.75,0.675或0.75,0.000000,10派7.5元（含税，扣税后6.75或7.5元）,
sh.600660,sh.600660,,2022-04-29,2022-03-18,2022-05-12,2022-05-18,2022-05-19,2022-05-19,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
